Profile: <cProfile.Profile object at 0x000001D079380980>
         233895 function calls (224082 primitive calls) in 17.917 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1891    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
       65    0.001    0.000    0.021    0.000 _connection.py:426(next_event)
       13    0.001    0.000    0.001    0.000 decoder.py:343(raw_decode)
       81    0.001    0.000    0.001    0.000 _receivebuffer.py:67(_extract)
  225/203    0.001    0.000    0.002    0.000 typing.py:1669(__hash__)
      255    0.001    0.000    0.004    0.000 _readers.py:64(_decode_header_lines)
       21    0.001    0.000    0.008    0.000 request.py:319(__init__)
       88    0.001    0.000    0.001    0.000 _models.py:126(<listcomp>)
       11    0.001    0.000   14.417    1.311 _base_client.py:929(_request)
       11    0.001    0.000   14.266    1.297 _client.py:1001(_send_single_request)
      756    0.001    0.000    0.001    0.000 <frozen os>:697(__iter__)
      216    0.001    0.000    0.003    0.000 contextlib.py:287(helper)
       11    0.001    0.000    0.021    0.002 _models.py:309(__init__)
       27    0.001    0.000   14.065    0.521 sync.py:122(read)
       11    0.001    0.000   14.241    1.295 default.py:214(handle_request)
      132    0.001    0.000    0.098    0.001 typing_extensions.py:1197(get_type_hints)
       11    0.001    0.000    0.072    0.007 _base_client.py:441(_build_request)
      500    0.001    0.000    2.668    0.005 {method 'readline' of '_io.BufferedReader' objects}
       22    0.001    0.000    0.009    0.000 _readers.py:94(maybe_read_from_SEND_RESPONSE_server)
       57    0.001    0.000    0.001    0.000 _trace.py:10(__init__)
      698    0.001    0.000    0.001    0.000 {method 'groupdict' of 're.Match' objects}
       24    0.001    0.000    0.003    0.000 cookiejar.py:1096(return_ok)
       99    0.001    0.000    0.001    0.000 inspect.py:1794(_shadowed_dict)
      143    0.001    0.000    0.002    0.000 _models.py:272(__contains__)
      529    0.001    0.000    0.001    0.000 _utils.py:47(normalize_header_value)
      132    0.001    0.000    0.002    0.000 typing.py:485(__getitem__)
        1    0.001    0.001    0.001    0.001 {method 'feed' of 'xml.etree.ElementTree.XMLParser' objects}
        3    0.001    0.000    0.001    0.000 inspect.py:2686(__init__)
       22    0.001    0.000    0.001    0.000 {method 'validate_python' of 'pydantic_core._pydantic_core.SchemaValidator' objects}
       22    0.001    0.000    0.004    0.000 connection_pool.py:230(_assign_requests_to_connections)
       77    0.001    0.000    0.001    0.000 typing.py:144(_generic_get_args)
       55    0.001    0.000    0.002    0.000 _urlparse.py:449(quote)
        3    0.001    0.000    0.002    0.001 ssl.py:1368(_real_close)
        3    0.001    0.000    0.004    0.001 _generate_schema.py:1040(_common_field_schema)
        1    0.001    0.001    0.680    0.680 _transcripts.py:90(_fetch_html)
       11    0.001    0.000   14.234    1.294 connection_pool.py:159(handle_request)
       56    0.001    0.000    0.001    0.000 cookiejar.py:1667(set_cookie)
      134    0.001    0.000    0.001    0.000 _model_construction.py:229(__getattr__)
      139    0.001    0.000    0.001    0.000 parse.py:119(_coerce_args)
       65    0.001    0.000    0.016    0.000 _connection.py:398(_extract_next_receive_event)
     1323    0.001    0.000    0.001    0.000 {method 'lower' of 'bytes' objects}
       82    0.001    0.000    0.003    0.000 _connection.py:330(_respond_to_state_changes)
        8    0.001    0.000    0.001    0.000 socket.py:220(__init__)
        5    0.001    0.000    0.002    0.000 cookiejar.py:466(parse_ns_headers)
       11    0.001    0.000    0.007    0.001 _events.py:82(__init__)
       33    0.001    0.000    0.009    0.000 sync.py:128(write)
      143    0.001    0.000    0.003    0.000 typing.py:164(get_args)
      305    0.001    0.000    0.001    0.000 request.py:401(add_header)
      223    0.001    0.000    0.001    0.000 typing.py:1297(__setattr__)
       17    0.001    0.000    0.017    0.001 cookiejar.py:1680(extract_cookies)
      145    0.001    0.000    0.001    0.000 {method 'search' of 're.Pattern' objects}
       11    0.001    0.000    0.002    0.000 _models.py:72(<listcomp>)
       22    0.001    0.000    0.024    0.001 _models.py:816(iter_bytes)
       11    0.001    0.000    0.001    0.000 _writers.py:22(write_headers)
       71    0.001    0.000    0.002    0.000 _state.py:275(process_event)
        1    0.001    0.001    0.001    0.001 {built-in method sys.getwindowsversion}
       12    0.001    0.000    0.001    0.000 encoder.py:205(iterencode)
      255    0.001    0.000    0.001    0.000 _readers.py:43(_obsolete_line_fold)
      121    0.001    0.000    0.003    0.000 _utils.py:302(smart_deepcopy)
       48    0.001    0.000    0.001    0.000 copy.py:259(_reconstruct)
      216    0.001    0.000    0.002    0.000 contextlib.py:132(__enter__)
       14    0.001    0.000    0.001    0.000 {built-in method zlib.decompressobj}
      532    0.001    0.000    0.001    0.000 {method 'get' of 'mappingproxy' objects}
