Profile: <cProfile.Profile object at 0x0000027907471630>
         36274 function calls (36090 primitive calls) in 4.358 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.001    0.000 client_reqrep.py:671(send)
        3    0.000    0.000    0.001    0.000 connectionpool.py:178(__init__)
       15    0.000    0.000    0.136    0.009 connector.py:1253(_create_direct_connection)
       94    0.000    0.000    0.000    0.000 socket.py:99(_intenum_converter)
        3    0.000    0.000    2.715    0.905 connectionpool.py:380(_make_request)
        6    0.000    0.000    0.002    0.000 url.py:369(parse_url)
        6    0.000    0.000    0.006    0.001 cookiejar.py:1680(extract_cookies)
        3    0.000    0.000    2.233    0.744 client.py:311(begin)
       24    0.000    0.000    0.000    0.000 parse.py:917(quote_from_bytes)
      195    0.000    0.000    0.007    0.000 __init__.py:122(unescape)
       32    0.000    0.000    0.000    0.000 windows_events.py:747(_register_with_iocp)
       29    0.000    0.000    0.001    0.000 cookiejar.py:620(request_host)
       48    0.000    0.000    0.001    0.000 {function _OverlappedFuture.set_result at 0x0000027906BC1B20}
       18    0.000    0.000    0.144    0.008 client.py:1352(__aenter__)
       81    0.000    0.000    0.001    0.000 _policybase.py:311(header_fetch_parse)
       64    0.000    0.000    0.000    0.000 feedparser.py:127(__next__)
        6    0.000    0.000    0.001    0.000 client_reqrep.py:988(start)
        9    0.000    0.000    0.004    0.000 sslproto.py:771(_do_read__copied)
        1    0.000    0.000    0.000    0.000 _transcripts.py:133(<listcomp>)
        3    0.000    0.000    0.000    0.000 poolmanager.py:96(_default_key_normalizer)
        3    0.000    0.000    0.000    0.000 {method '_wrap_bio' of '_ssl._SSLContext' objects}
       10    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       21    0.000    0.000    0.001    0.000 connection.py:310(putheader)
        3    0.000    0.000    0.193    0.064 connection.py:732(_ssl_wrap_socket_and_match_hostname)
       12    0.000    0.000    0.003    0.000 staggered.py:82(run_one_coro)
       84    0.000    0.000    0.000    0.000 utils.py:51(_has_surrogates)
        1    0.000    0.000    0.000    0.000 {method '_accept' of '_socket.socket' objects}
     1052    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        4    0.000    0.000    0.000    0.000 {method 'getsockname' of '_socket.socket' objects}
       18    0.000    0.000    0.145    0.008 async_summary.py:55(async_chunk_summary)
       66    0.000    0.000    0.000    0.000 threading.py:359(notify)
       12    0.000    0.000    0.004    0.000 connector.py:1036(_wrap_create_connection)
        3    0.000    0.000    0.003    0.001 sslproto.py:565(_on_handshake_complete)
        3    0.000    0.000    0.001    0.000 cookiejar.py:175(update_cookies)
        3    0.000    0.000    0.000    0.000 socket.py:303(makefile)
      223    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
        3    0.000    0.000    0.000    0.000 response.py:564(__init__)
       95    0.000    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
        3    0.000    0.000    0.001    0.000 _url.py:166(__new__)
       10    0.000    0.000    0.000    0.000 {method 'setblocking' of '_socket.socket' objects}
      272    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
       73    0.000    0.000    0.658    0.009 models.py:816(generate)
        9    0.000    0.000    0.001    0.000 staggered.py:14(staggered_race)
        6    0.000    0.000    0.000    0.000 client.py:417(close)
      123    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
       13    0.000    0.000    0.000    0.000 base_events.py:733(call_at)
       10    0.000    0.000    0.000    0.000 cookiejar.py:1015(set_ok_domain)
        3    0.000    0.000    0.000    0.000 client_reqrep.py:429(update_headers)
        3    0.000    0.000    0.000    0.000 client.py:1086(putrequest)
       10    0.000    0.000    0.000    0.000 cookiejar.py:761(__init__)
        1    0.000    0.000    0.000    0.000 {method 'bind' of '_socket.socket' objects}
       73    0.000    0.000    0.657    0.009 response.py:1021(stream)
        8    0.000    0.000    0.001    0.000 cookiejar.py:232(http2time)
        8    0.000    0.000    0.001    0.000 cookiejar.py:1578(_cookies_from_attrs_set)
      251    0.000    0.000    0.000    0.000 base_events.py:1940(get_debug)
        5    0.000    0.000    0.001    0.000 windows_events.py:458(recv)
      122    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
       12    0.000    0.000    0.000    0.000 message.py:591(get_content_type)
       77    0.000    0.000    0.000    0.000 threading.py:264(__enter__)
       12    0.000    0.000    0.000    0.000 idna.py:145(encode)
        3    0.000    0.000    0.283    0.094 connection.py:27(create_connection)
      170    0.000    0.000    0.000    0.000 base_events.py:517(_check_closed)
      111    0.000    0.000    0.000    0.000 {method 'extend' of 'bytearray' objects}
        3    0.000    0.000    0.006    0.002 sessions.py:457(prepare_request)
       77    0.000    0.000    0.000    0.000 threading.py:267(__exit__)
       21    0.000    0.000    0.001    0.000 sessions.py:61(merge_setting)
       65    0.000    0.000    0.000    0.000 base_events.py:700(time)
       55    0.000    0.000    0.000    0.000 message.py:506(set_raw)
       69    0.000    0.000    0.000    0.000 threading.py:279(_is_owned)
      137    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
        3    0.000    0.000    0.000    0.000 feedparser.py:182(close)
      390    0.000    0.000    0.000    0.000 ssl.py:1146(_checkClosed)
        3    0.000    0.000    2.227    0.742 client.py:278(_read_status)
        3    0.000    0.000    0.012    0.004 socket.py:945(getaddrinfo)
       24    0.000    0.000    0.000    0.000 parse.py:841(quote)
        3    0.000    0.000    0.000    0.000 message.py:486(<listcomp>)
       21    0.000    0.000    0.000    0.000 utils.py:345(to_key_val_list)
       81    0.000    0.000    0.000    0.000 _quoting_c.pyx:260(_write)
        9    0.000    0.000    0.005    0.001 sslproto.py:720(_do_read)
      4/2    0.000    0.000    0.000    0.000 _compiler.py:37(_compile)
       11    0.000    0.000    0.000    0.000 calendar.py:653(timegm)
       17    0.000    0.000    0.002    0.000 structures.py:40(__init__)
        3    0.000    0.000    0.001    0.000 feedparser.py:100(push)
       29    0.000    0.000    0.000    0.000 _weakrefset.py:85(add)
        6    0.000    0.000    0.000    0.000 {method 'cancel' of '_overlapped.Overlapped' objects}
       95    0.000    0.000    0.001    0.000 <frozen abc>:117(__instancecheck__)
       12    0.000    0.000    0.000    0.000 url.py:303(_normalize_host)
        3    0.000    0.000    0.005    0.002 parser.py:41(parse)
        8    0.000    0.000    0.000    0.000 cookies.py:521(cookiejar_from_dict)
        3    0.000    0.000    0.000    0.000 {built-in method today}
        3    0.000    0.000    0.003    0.001 connectionpool.py:1178(_close_pool_connections)
      225    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        3    0.000    0.000    0.283    0.094 connection.py:192(_new_conn)
        3    0.000    0.000    0.003    0.001 async_summary.py:94(async_concatenate_summaries)
       12    0.000    0.000    0.000    0.000 tasks.py:389(wait)
       14    0.000    0.000    0.000    0.000 cookiejar.py:1667(set_cookie)
       26    0.000    0.000    0.000    0.000 windows_events.py:91(set_result)
       93    0.000    0.000    0.000    0.000 structures.py:58(<genexpr>)
       40    0.000    0.000    0.000    0.000 cookies.py:49(get_full_url)
       26    0.000    0.000    0.000    0.000 {method 'getresult' of '_overlapped.Overlapped' objects}
        3    0.000    0.000    0.000    0.000 client_reqrep.py:454(update_auto_headers)
        3    0.000    0.000    0.001    0.000 utils.py:204(get_netrc_auth)
        6    0.000    0.000    0.006    0.001 cookies.py:124(extract_cookies_to_jar)
       11    0.000    0.000    0.000    0.000 cookiejar.py:1261(__init__)
       24    0.000    0.000    0.000    0.000 {method 'fullmatch' of 're.Pattern' objects}
        5    0.000    0.000    0.000    0.000 {built-in method _overlapped.CreateIoCompletionPort}
       28    0.000    0.000    0.000    0.000 base_events.py:425(create_future)
        6    0.000    0.000    0.024    0.004 sslproto.py:555(_do_handshake)
       14    0.000    0.000    0.000    0.000 cookies.py:349(set_cookie)
    45/25    0.000    0.000    0.000    0.000 cookiejar.py:1227(deepvalues)
        3    0.000    0.000    0.005    0.002 adapters.py:359(build_response)
        4    0.000    0.000    0.001    0.000 ssl.py:1263(sendall)
        6    0.000    0.000    0.003    0.001 feedparser.py:176(_call_parse)
       12    0.000    0.000    0.000    0.000 tasks.py:497(_wait)
        2    0.000    0.000    0.000    0.000 _parser.py:449(_parse_sub)
       14    0.000    0.000    0.000    0.000 cookiejar.py:550(domain_match)
       42    0.000    0.000    0.000    0.000 cookiejar.py:535(is_HDN)
        3    0.000    0.000    0.000    0.000 response.py:316(__init__)
       13    0.000    0.000    0.000    0.000 {built-in method _asyncio._get_running_loop}
        3    0.000    0.000    0.005    0.002 parser.py:59(parsestr)
        3    0.000    0.000    0.002    0.001 windows_events.py:610(connect)
