Profile: <cProfile.Profile object at 0x000001BA0CDE07C0>
         73185 function calls (70800 primitive calls) in 9.198 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      968    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
       35    0.001    0.000    0.003    0.000 windows_events.py:481(recv_into)
  122/118    0.001    0.000    0.011    0.000 typing.py:352(inner)
       95    0.001    0.000    0.001    0.000 parse.py:164(hostname)
      158    0.001    0.000    0.002    0.000 enum.py:686(__call__)
       11    0.001    0.000    0.010    0.001 sslproto.py:565(_on_handshake_complete)
        4    0.001    0.000    0.001    0.000 cookiejar.py:1114(return_ok_version)
      606    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
      111    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:1192(_gcd_import)
      170    0.001    0.000    0.002    0.000 {function _OverlappedFuture.set_result at 0x000001BA0C311E40}
       55    0.001    0.000    0.197    0.004 connector.py:507(connect)
       44    0.001    0.000    0.009    0.000 staggered.py:82(run_one_coro)
      6/2    0.001    0.000    0.002    0.001 _parser.py:449(_parse_sub)
        1    0.001    0.001    0.018    0.018 _transcripts.py:51(_extract_captions_json)
      110    0.001    0.000    0.001    0.000 typing.py:2256(cast)
     1039    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
       66    0.001    0.000    0.224    0.003 summary.py:91(async_chunk_summary)
      259    0.001    0.000    0.001    0.000 typing.py:1245(_is_dunder)
      847    0.000    0.000    0.000    0.000 base_events.py:1940(get_debug)
  176/153    0.000    0.000    0.002    0.000 _typing.py:40(strip_annotated_type)
       26    0.000    0.000    0.000    0.000 {method 'setblocking' of '_socket.socket' objects}
       14    0.000    0.000    0.000    0.000 {built-in method zlib.decompressobj}
        2    0.000    0.000    0.002    0.001 _parser.py:972(parse)
      111    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1035(_resolve_name)
      6/2    0.000    0.000    0.001    0.001 _parser.py:509(_parse)
       30    0.000    0.000    0.003    0.000 typing.py:1353(__init__)
      106    0.000    0.000    0.001    0.000 windows_events.py:747(_register_with_iocp)
       19    0.000    0.000    0.000    0.000 {method 'settimeout' of '_socket.socket' objects}
      532    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
      337    0.000    0.000    0.002    0.000 _typing.py:29(is_required_type)
       35    0.000    0.000    0.016    0.000 sslproto.py:720(_do_read)
    40/20    0.000    0.000    0.000    0.000 cookiejar.py:1227(deepvalues)
  297/161    0.000    0.000    0.001    0.000 typing.py:388(<genexpr>)
      184    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:405(parent)
      330    0.000    0.000    0.001    0.000 typing.py:1664(__eq__)
     10/2    0.000    0.000    0.001    0.000 _compiler.py:37(_compile)
       12    0.000    0.000    0.000    0.000 {method 'getsockname' of '_socket.socket' objects}
       11    0.000    0.000    0.003    0.000 client_reqrep.py:261(__init__)
       44    0.000    0.000    0.019    0.000 connector.py:1036(_wrap_create_connection)
     12/2    0.000    0.000    0.029    0.014 _transform.py:231(_transform_typeddict)
  295/279    0.000    0.000    0.001    0.000 {method 'encode' of 'str' objects}
      111    0.000    0.000    0.000    0.000 {method 'extend' of 'bytearray' objects}
       66    0.000    0.000    0.221    0.003 client.py:1352(__aenter__)
      328    0.000    0.000    0.002    0.000 _typing.py:11(is_annotated_type)
       70    0.000    0.000    2.988    0.043 windows_events.py:442(select)
        4    0.000    0.000    0.006    0.001 url.py:369(parse_url)
      161    0.000    0.000    0.002    0.000 _transform.py:111(_get_annotated_type)
       10    0.000    0.000    0.001    0.000 _core_utils.py:77(get_type_ref)
        5    0.000    0.000    0.000    0.000 {method 'WSARecv' of '_overlapped.Overlapped' objects}
        2    0.000    0.000    0.172    0.086 ssl.py:577(_load_windows_store_certs)
       11    0.000    0.000    0.000    0.000 {method 'shutdown' of '_ssl._SSLSocket' objects}
      556    0.000    0.000    0.000    0.000 base_events.py:517(_check_closed)
       55    0.000    0.000    0.195    0.004 connector.py:1253(_create_direct_connection)
       33    0.000    0.000    0.003    0.000 staggered.py:14(staggered_race)
      111    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1165(_find_and_load)
