Profile: <cProfile.Profile object at 0x000001D0792CD780>
         53760 function calls (53536 primitive calls) in 4.484 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        8    0.000    0.000    0.000    0.000 cookiejar.py:1389(_normalized_cookie_tuples)
      148    0.000    0.000    0.001    0.000 base_events.py:700(time)
       33    0.000    0.000    0.002    0.000 tasks.py:426(wait_for)
       92    0.000    0.000    0.001    0.000 windows_events.py:91(set_result)
        6    0.000    0.000    0.001    0.000 parse.py:452(urlsplit)
      190    0.000    0.000    0.001    0.000 {method '_checkReadable' of '_io._IOBase' objects}
       15    0.000    0.000    0.000    0.000 {method 'settimeout' of '_socket.socket' objects}
        6    0.000    0.000    0.002    0.000 feedparser.py:216(_parsegen)
      523    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       79    0.000    0.000    0.001    0.000 sslproto.py:816(_control_app_writing)
       12    0.000    0.000    0.001    0.000 message.py:524(get_all)
       34    0.000    0.000    0.001    0.000 events.py:147(cancel)
       36    0.000    0.000    0.001    0.000 queue.py:154(get)
       11    0.000    0.000    0.000    0.000 client.py:1155(post)
       16    0.000    0.000    0.000    0.000 threading.py:90(RLock)
        3    0.000    0.000    1.091    0.364 base_events.py:593(run_forever)
       24    0.000    0.000    0.130    0.005 sslproto.py:432(buffer_updated)
       22    0.000    0.000    0.009    0.000 impl.py:131(_connect_sock)
       10    0.000    0.000    0.003    0.000 cookiejar.py:949(set_ok)
       11    0.000    0.000    0.000    0.000 {method 'shutdown' of '_ssl._SSLSocket' objects}
      175    0.000    0.000    0.000    0.000 events.py:119(__lt__)
       14    0.000    0.000    0.000    0.000 {method 'cancel' of '_overlapped.Overlapped' objects}
       22    0.000    0.000    0.130    0.006 sslproto.py:555(_do_handshake)
      102    0.000    0.000    0.000    0.000 <attrs generated hash aiohttp.client_reqrep.ConnectionKey>:1(__hash__)
       11    0.000    0.000    0.002    0.000 client_reqrep.py:1185(json)
       10    0.000    0.000    0.001    0.000 cookiejar.py:1486(_cookie_from_cookie_tuple)
        2    0.000    0.000    0.000    0.000 {built-in method _thread.start_new_thread}
       11    0.000    0.000    0.001    0.000 helpers.py:632(start)
      400    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
       24    0.000    0.000    0.001    0.000 message.py:489(get)
       11    0.000    0.000    0.000    0.000 impl.py:181(_interleave_addrinfos)
       24    0.000    0.000    0.131    0.005 protocols.py:200(_feed_data_to_buffered_proto)
        3    0.000    0.000    3.323    1.108 sessions.py:673(send)
       55    0.000    0.000    0.000    0.000 _policybase.py:293(header_source_parse)
       77    0.000    0.000    0.001    0.000 helpers.py:494(_is_ip_address)
       11    0.000    0.000    0.001    0.000 ipaddress.py:28(ip_address)
      109    0.000    0.000    0.000    0.000 structures.py:51(__getitem__)
      111    0.000    0.000    0.000    0.000 structures.py:46(__setitem__)
      505    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
        3    0.000    0.000    0.186    0.062 ssl.py:1018(_create)
        3    0.000    0.000    0.000    0.000 socket.py:303(makefile)
      146    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       92    0.000    0.000    0.000    0.000 {method 'getresult' of '_overlapped.Overlapped' objects}
       11    0.000    0.000    0.000    0.000 client_reqrep.py:548(update_body_from_data)
      255    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
