Profile: <cProfile.Profile object at 0x000001BA0CDE2270>
         242367 function calls (233358 primitive calls) in 25.235 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       31    0.001    0.000   22.748    0.734 sync.py:122(read)
     1535    0.001    0.000    0.001    0.000 {method 'lower' of 'bytes' objects}
      576    0.001    0.000    0.001    0.000 {method 'get' of 'mappingproxy' objects}
       13    0.001    0.000   22.800    1.754 connection_pool.py:159(handle_request)
       97    0.001    0.000    0.003    0.000 _connection.py:330(_respond_to_state_changes)
      290    0.001    0.000    0.001    0.000 _readers.py:43(_obsolete_line_fold)
      377    0.001    0.000    0.001    0.000 request.py:401(add_header)
      518    0.001    0.000    0.001    0.000 <frozen os>:742(check_str)
       76    0.001    0.000    0.015    0.000 _connection.py:398(_extract_next_receive_event)
      129    0.001    0.000    0.001    0.000 {method 'search' of 're.Pattern' objects}
      736    0.001    0.000    0.002    0.000 {method 'join' of 'str' objects}
      144    0.001    0.000    0.001    0.000 _model_construction.py:229(__getattr__)
      131    0.001    0.000    0.001    0.000 parse.py:119(_coerce_args)
       26    0.001    0.000    0.004    0.000 connection_pool.py:230(_assign_requests_to_connections)
        1    0.001    0.001    0.012    0.012 _transcripts.py:51(_extract_captions_json)
      156    0.001    0.000    0.004    0.000 typing.py:164(get_args)
       14    0.001    0.000    0.001    0.000 {built-in method zlib.decompressobj}
       13    0.001    0.000    0.004    0.000 _client.py:392(_merge_cookies)
       39    0.001    0.000    0.004    0.000 _models.py:1016(__init__)
       39    0.001    0.000    0.011    0.000 sync.py:128(write)
       26    0.001    0.000    0.023    0.001 _models.py:816(iter_bytes)
       65    0.001    0.000    0.002    0.000 _urlparse.py:449(quote)
       13    0.001    0.000    0.035    0.003 _client.py:319(build_request)
      847    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
       64    0.001    0.000    0.001    0.000 cookiejar.py:1667(set_cookie)
       13    0.001    0.000    0.007    0.001 _events.py:82(__init__)
       64    0.001    0.000    0.003    0.000 cookiejar.py:620(request_host)
       84    0.001    0.000    0.002    0.000 _state.py:275(process_event)
        2    0.001    0.000    0.001    0.001 cookiejar.py:466(parse_ns_headers)
       91    0.001    0.000    0.002    0.000 _connection.py:308(_get_io_object)
       12    0.001    0.000    0.026    0.002 _response.py:123(_parse)
       13    0.001    0.000    0.002    0.000 _models.py:72(<listcomp>)
      228    0.001    0.000    0.001    0.000 contextlib.py:132(__enter__)
       52    0.001    0.000    0.008    0.000 _urls.py:75(__init__)
       12    0.001    0.000   24.190    2.016 completions.py:558(create)
       52    0.001    0.000    0.001    0.000 copy.py:259(_reconstruct)
       13    0.001    0.000    0.001    0.000 _writers.py:22(write_headers)
       13    0.001    0.000    0.001    0.000 encoder.py:205(iterencode)
       12    0.001    0.000    0.028    0.002 _base_client.py:1061(_process_response)
       78    0.001    0.000    0.008    0.000 _models.py:62(__init__)
      180    0.001    0.000    0.001    0.000 inspect.py:1766(_static_getmro)
   156/84    0.001    0.000    0.017    0.000 _models.py:350(_construct_field)
      132    0.000    0.000    0.004    0.000 fields.py:532(get_default)
      214    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
       32    0.000    0.000    0.019    0.001 _models.py:867(iter_raw)
       24    0.000    0.000    0.001    0.000 {method 'validate_python' of 'pydantic_core._pydantic_core.SchemaValidator' objects}
        2    0.000    0.000    0.002    0.001 connectionpool.py:178(__init__)
      312    0.000    0.000    0.005    0.000 _utils.py:151(is_mapping)
  554/482    0.000    0.000    0.001    0.000 {built-in method builtins.hash}
       80    0.000    0.000    0.002    0.000 {built-in method builtins.any}
       15    0.000    0.000    0.009    0.001 cookiejar.py:1356(add_cookie_header)
       13    0.000    0.000    0.005    0.000 _models.py:200(update)
       17    0.000    0.000    0.017    0.001 cookiejar.py:1680(extract_cookies)
      221    0.000    0.000    0.001    0.000 <frozen _collections_abc>:989(__iter__)
      169    0.000    0.000    0.000    0.000 _models.py:274(<listcomp>)
