Profile: <cProfile.Profile object at 0x000001F095772890>
         245586 function calls (235919 primitive calls) in 19.962 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      156    0.001    0.000    0.003    0.000 typing.py:164(get_args)
       60    0.001    0.000    0.002    0.000 _urlparse.py:449(quote)
       86    0.001    0.000    0.002    0.000 _connection.py:308(_get_io_object)
      230    0.001    0.000    0.001    0.000 typing.py:1297(__setattr__)
       24    0.001    0.000    0.022    0.001 _models.py:816(iter_bytes)
      334    0.001    0.000    0.001    0.000 request.py:401(add_header)
      242    0.001    0.000    0.002    0.000 contextlib.py:132(__enter__)
      504    0.001    0.000    0.001    0.000 <frozen os>:697(__iter__)
   156/84    0.001    0.000    0.029    0.000 _models.py:350(_construct_field)
        2    0.001    0.000    0.001    0.001 ssl.py:1368(_real_close)
       12    0.001    0.000    0.002    0.000 _models.py:72(<listcomp>)
       81    0.001    0.000    0.002    0.000 _state.py:275(process_event)
       24    0.001    0.000    0.001    0.000 {method 'validate_python' of 'pydantic_core._pydantic_core.SchemaValidator' objects}
       48    0.001    0.000    0.009    0.000 _urls.py:75(__init__)
       26    0.001    0.000    0.002    0.000 cookiejar.py:1096(return_ok)
      580    0.001    0.000    0.001    0.000 {method 'get' of 'mappingproxy' objects}
      125    0.001    0.000    0.001    0.000 {method 'search' of 're.Pattern' objects}
       78    0.001    0.000    0.003    0.000 {built-in method builtins.any}
      673    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
        3    0.001    0.000    0.001    0.000 cookiejar.py:466(parse_ns_headers)
      126    0.001    0.000    0.001    0.000 parse.py:119(_coerce_args)
      203    0.001    0.000    0.001    0.000 <frozen _collections_abc>:989(__iter__)
       12    0.001    0.000   19.022    1.585 completions.py:558(create)
        7    0.000    0.000    0.000    0.000 {built-in method winreg.QueryValueEx}
       12    0.000    0.000    0.000    0.000 encoder.py:205(iterencode)
      195    0.000    0.000    0.000    0.000 video.py:86(<genexpr>)
      180    0.000    0.000    0.000    0.000 inspect.py:1766(_static_getmro)
        6    0.000    0.000    0.000    0.000 socket.py:220(__init__)
       36    0.000    0.000    0.006    0.000 _connection.py:518(send_with_data_passthrough)
